Country Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),"Population, total",Urban population growth (annual %)
Pre-demographic dividend,0.5186190517915821,39.26689665177325,75.11145382659318,15.497607076685298,2.8942121355047643,823432968.5555556,4.34833697652111
Qatar,40.3349028471156,100.0,0.0,9.636156954527268,5.769813181619806,2401169.888888889,5.8597239193349955
Romania,3.8551552013874244,100.0,22.979884791246196,24.424578333398667,-0.498476653474759,19880482.888888888,-0.4365736409621507
Russian Federation,12.21305848038008,100.0,3.399290743172095,9.724609876393245,0.13094661468625554,143750291.7777778,0.24965631376920477
Rwanda,0.06863967531051995,19.908749999999998,88.73275986046399,9.116059382092594,2.5459357466926376,11122032.222222222,2.7288427048114365
Samoa,1.0394482499810598,97.7534683446988,40.93482020311347,7.156390001107039,0.6758307134600565,191663.77777777778,-0.5113120637300096
Sao Tome and Principe,0.576263444014093,64.99365711212158,42.06428118377508,29.24060655456007,2.024573609099909,195765.44444444444,3.487333793811131
Saudi Arabia,18.68194103530428,100.0,0.006318549876778111,4.616751427169381,2.6160720750080357,30752575.333333332,2.881205105893735
Senegal,0.6158543237952625,59.27218236923218,46.49137025451492,25.305182866078336,2.7888553501300084,14212980.777777778,3.7300793863155324
Serbia,6.154897583293526,99.92239949124743,20.430503987764332,6.458738226830967,-0.5263680916784357,7130663.0,-0.2617647505900265
Seychelles,4.745848053555006,98.97996902465822,1.0265452649658482,42.096030631488865,1.1436311350083272,91947.0,1.8980721093511077
Sierra Leone,0.15275031338459258,16.981257437797563,78.14840717391364,9.387546417650173,2.2057052676966253,7023546.222222222,3.1968542795490813
Singapore,9.429855702225694,100.0,0.5543103248302893,5.5763732189850534,1.3633318608673397,5426106.333333333,1.3633318608673421
Sint Maarten (Dutch part),19.702778648504268,100.0,0.0482908179463764,0.000372593988169995,1.9084565976020416,37382.77777777778,1.9084565976020391
Slovak Republic,6.190152727961138,100.0,11.24003151882365,37.51360889156479,0.1243182854989741,5418919.444444444,-0.12800088408156685
Slovenia,7.02104225567376,100.0,20.496554637556798,53.628640294059004,0.14989661877565388,2060316.7777777778,0.5878510246003741
Small states,7.028207590376357,75.89129512574624,24.952383893290556,26.076337241352363,1.80891881719977,37887226.333333336,2.73903669303046
Solomon Islands,0.358691143846014,48.02964029312134,63.40455429978524,2.21017741544536,2.6315705834916234,588367.8888888889,4.771223131966274
Somalia,0.04791014453200136,26.795030593872074,94.00992962608137,0.83,2.749931299744009,13467007.111111112,4.725683951256768
South Africa,8.968758663523237,84.80000000000001,16.754496658418613,10.042109947105233,1.5013127561074375,54517829.11111111,2.311822669942997
South Asia,1.325960435210368,79.58213435926825,40.05732392543745,7.2921273831249,1.2976612982713358,1727255123.0,2.54241701699176
South Asia (IDA & IBRD),1.32596043521037,79.58213435926825,40.05732392543745,7.2921273831249,1.2976612982713358,1727255123.0,2.54241701699176
South Sudan,0.13774826641612667,13.642140269279459,32.200623464611276,15.501000834383,2.0310696893108355,10421941.888888888,3.1718890698820292
Spain,5.476719293446898,100.0,15.911410294841602,28.050422432748064,0.0861335188264481,46604329.11111111,0.3820621823396461
Sri Lanka,0.7638643367606526,91.45521518707277,58.68606071607234,29.861332598608133,0.822668129309554,20859489.666666668,0.964290402402244
St. Kitts and Nevis,4.513100795645613,99.94804000854492,1.3499815877304087,3.3177564781045334,0.8453974840363673,50752.11111111111,0.5997142558630092
St. Lucia,2.303196703210208,96.40819405077222,2.168680812206253,18.763473060937734,0.6068675014509003,178230.88888888888,0.2929465624915804
